,0
keep_up,0.013357818933550487
newspaper,0.013269779896631308
and/or,0.01915759497173598
partner,0.06949720585770136
immune,0.009862717954817314
customer,0.09900915360235789
food,0.013341889989243029
bang,0.011919671602573633
acquire,0.054113896350953
platform,0.06646533793594753
learn,0.04746699585676439
holiday,0.012498545608511543
discover,0.0066955580310406
perception,0.016125588873782997
distance,0.013367226334634379
city,0.03759609401820014
deep,0.052162655683241466
wonderful,0.021654485929136293
sleep,0.02643302112808964
extract,0.022940938536295648
postal,0.007243095151031606
exist,0.07738338230241143
rotation,0.013661222795797866
act,0.04222180186904041
scrutineer,0.01061087683667744
register,0.030599512237494398
assist,0.06046261537974935
joint,0.01385835649861419
chair,0.03457081910352931
chairman,0.07175901589090151
enjoy,0.053343163984988645
success,0.057412379783814346
retailer,0.08162014561910748
together_with,0.01128416141140275
forefront,0.026313227697363006
trustee,0.01002166597055896
personally,0.025537914443140547
responsibility,0.027579577640737468
seriously,0.023633244280201877
add_value,0.024664734485696085
offer,0.08749498194701656
independent,0.056225019074114625
appoint,0.0206367989858331
airline,0.10497932239126444
communicate,0.0244974072506837
ridiculous,0.005431552927931433
inappropriate,0.022806833151657116
wife,0.011553553084830494
e-mail,0.009522030900650885
communication,0.01661385440711576
sort_out,0.012660379847221037
on_behalf_of,0.027837733171819583
engage,0.06619585744706147
endure,0.010071440427613014
hire,0.030062176880293865
good_shape,0.031180450716925774
mine,0.02833636102576151
defense,0.00952288389298626
style,0.01614539440483925
integrity,0.008417818141403157
nomination,0.00425871862477417
honest,0.06177935199755019
safety,0.01888547046083419
credentials,0.011848678922106106
proud,0.030554433765270592
privileged,0.008755342696708225
extraordinary,0.03215417523798809
executive_team,0.014539907523366945
responsible,0.03217761116705489
day-to-day,0.020588869746141263
critically,0.013183470302981103
passion,0.0124441484924543
hardest,0.008718567372433038
consult,0.01764746789582857
payable,0.00986183022450282
organization,0.08853003473203823
plane,0.027492028148636792
time_ago,0.022382438191183986
campaign,0.01467690490048809
traveler,0.011414290269100187
air_service,0.01296152627187803
work_hard,0.051070909788229084
efficient,0.05342731633166655
aircraft,0.11536186447912106
much_greater,0.024300896766710774
network,0.13662280463770654
regional,0.061068251272462654
car,0.021842255963536297
enable,0.07389243720660382
price_competition,0.019048393631513373
profitable_growth,0.018762795276220757
digest,0.00717677145184243
service,0.11044435702944214
venture,0.017405604853894554
diversity,0.021622816969087463
skill,0.024019421994309165
gender,0.005353170348348483
age,0.017030930415864325
diverse,0.027670059456355235
manager,0.0233689574886262
importantly,0.060572914350500925
young,0.022061396800993865
deserve,0.0108232895098735
tremendous,0.022397984717872278
win,0.06451686544888884
team,0.09455739647838556
family,0.02309341662065246
staff,0.07310555347709854
roof,0.010937980754537332
customer_relationship,0.03695657783535011
computer,0.008617974391584689
modern,0.03432962405484892
incredible,0.01718143594567886
spend_a_lot_of_time,0.024942711958756133
culture,0.04212802489327004
colleague,0.018885665721736167
talent,0.0088248790423954
channel,0.09867040477978962
brand,0.10968709375931948
expert,0.036364957065664394
game,0.036814494930127
relationship,0.10563466481084244
customer_base,0.05333157422864573
collaboration,0.01172440597801439
create,0.07328073078218798
interaction,0.01898691261716212
contact_center,0.007990765824242668
call_center,0.009541140305527385
reliability,0.01704138038022992
fleet,0.061606337255345416
technological,0.005368351681435902
product,0.12037890885455134
disrupt,0.010408833355623717
mechanical,0.01246847101936528
different_type,0.017782011214701802
back-end,0.010428208856792636
chop,0.0065927649646519496
customer_service,0.012118556023121197
totally,0.03686900497527775
availability,0.02341120728993479
rebrand,0.011923578248446467
location,0.04651319773730728
freedom,0.008371558212654518
customer_satisfaction,0.035054631215826394
frustrating,0.01134807960144383
datum,0.07774742010164104
customer_need,0.007641008671731409
whereby,0.02195758097601379
research,0.036083967046238646
long-standing,0.01160065321890447
loyalty,0.01245585000517908
in_order,0.04660771859841917
sign_up,0.013588132778869801
attraction,0.013722509443026457
lightly,0.012915496037497096
exercise,0.04354073329958483
share_buyback,0.012848019386883038
growth_story,0.010617974034493884
overseas,0.03938542191364414
uncontrollable,0.006680776884094603
fuel_price,0.02326628257082655
adapt,0.02922206200778109
because_if,0.014253219282082185
nimble,0.012421617403594138
agile,0.007188351946584242
speed,0.04023049731898005
obsess,0.010285269040042708
management_team,0.056492898649323504
likewise,0.018421848876737514
one,0.07351277207984679
go_off,0.0071144879008760145
genuinely,0.03275110368440158
new_zealanders,0.006771030335506299
honestly,0.013902290811494779
route,0.11196033267599556
former,0.015375432502265196
judge,0.016038403571773944
regularly,0.01748352521480299
accountant,0.01582277783917164
endorse,0.011441856792381033
refreshment,0.03416214703353384
efficiency,0.07200038471945726
revenue_opportunity,0.009304256589718951
longer_term,0.04350974881775161
doesnt,0.026749651305940387
