,0
people,0.036256199720477424
partner,0.04677496324086656
company,0.07784020739491031
customer,0.03376940281002068
platform,0.05572111393819
learn,0.039983118345173825
sit_down,0.013988295055944781
great,0.05171545298702721
wonderful,0.016874523289235447
smarter,0.013452661058667145
focus,0.03174697024368887
build,0.0515679562372571
person,0.031693068481890296
director,0.11610577911609875
delegate,0.0084843184074604
audit_function,0.002275530126260271
assist,0.044813263465905674
joint,0.009207751987556011
support,0.05777258836299211
association,0.009484324806368336
success,0.04581941897444812
together_with,0.01006369778393594
serve,0.03670863624134924
best,0.05342189647128402
forefront,0.01723522728637734
responsibility,0.02274529384619798
seriously,0.022142791851529342
sincerely,0.01160709976857149
credentials,0.009321948329556174
discussion,0.06099462715629558
contact,0.04741541151686553
communication,0.014861252563450143
on_behalf_of,0.022401992394742536
engage,0.05078089664148247
assure,0.024925028840924585
hire,0.025097150776822348
critical,0.04780527093215431
consultative,0.004375922218102291
integrity,0.007997932415628085
journalism,0.0012048523635263375
honest,0.04619308845170892
instrumental,0.0021339795597718867
safety,0.012767653406888565
proud,0.025690503741257212
executive_team,0.015169773281666181
responsible,0.023166562954202944
passion,0.006854727825815491
safety_management,0.0012048523635263375
fantastic,0.033746746485678394
commit,0.04731250512142627
effort,0.042407019433056393
organization,0.05938622784407521
requirement,0.05172538606477304
advice,0.03976882861646355
management_people,0.0012048523635263375
efficient,0.04623468035397828
network,0.08431080573535875
enable,0.05236087597805702
conversation,0.03978642628915965
alliance,0.036845461888271105
alliance_partner,0.0032187197304112797
service,0.06959779382649724
deliver,0.06646461878367099
skill,0.018873560901101257
passionately,0.0012048523635263375
manager,0.021677375921275187
importantly,0.04701781300841602
young,0.016661636551817554
management,0.05976258860411018
deserve,0.009177805531564852
coaching,0.0025280870166557233
mentore,0.0017977121557404031
executive,0.029274381983434475
team,0.06499172534290383
superb,0.003352445794453612
praise,0.004662168672291499
staff,0.05219909973942801
customer_relationship,0.02824404150217045
modern,0.020695155574131083
incredible,0.012522911308414722
culture,0.022522172684327425
reward,0.029041638650211376
talent,0.008466403612515805
esteem,0.0012048523635263375
brand,0.06564919525014003
expert,0.024907648250814547
relationship,0.06658404996008872
customer_base,0.04056212570610904
collaboration,0.00681134932838482
create,0.05713052324244359
interaction,0.013328583663753005
commitment,0.038344881656848226
reliability,0.015513082698988843
technological,0.004862614758512864
simplify,0.03645556587764362
consistency,0.01774576352437662
product,0.06630835290128731
together,0.05273706439367236
customer_service,0.011596066436447807
ability,0.052043484475911984
freedom,0.009114528883156113
customer_satisfaction,0.02961524554349316
customer_need,0.007001405378750396
loyalty,0.014435155820823178
keen,0.02936166855211952
frustration,0.014344614566708172
nimble,0.01113013658096644
agile,0.008045425802766638
speed,0.035344299217070274
agility,0.004253324623855555
management_team,0.03914766105908263
genuinely,0.02650867962082728
convince,0.020413218225434765
honestly,0.01108533318087399
fun,0.004502394407756443
leadership_group,0.0012048523635263375
ceo,0.04791531613224241
diligent,0.0022708241324320157
tribute,0.0012048523635263375
efficiency,0.06143980926600675
collaborative,0.0024744527268839157
powerful,0.012786780847744641
productivity,0.05378293788666169
attract,0.04827094460617495
design,0.03543193165084688
successful,0.05907876577192217
differentiate,0.025166928069150878
involve,0.06128267596765114
delivery,0.03618591087434165
explore,0.021281347836600285
alliance_relationship,0.0024744527268839157
mission,0.004050187873186003
business_model,0.030446937751289142
collaboratively,0.006231152073973196
co-chair,0.00803697122783774
co-partner,0.0030799626193599686
partnership,0.04732317973932718
connectivity,0.014191123560318012
responsive,0.007604401574114
develop,0.06027677072421072
effectiveness,0.015867952552927382
distribution_partner,0.006902918527164858
business_people,0.0050865234565692
supply_chain,0.01224677375420042
align,0.053403968433262464
product_service,0.025859954059742788
client,0.053875619795221756
consultation,0.029003878692957244
resource,0.043561111909835123
collaborate,0.004890215002273176
